chromosome,probe_id_id,n_patients_with_probe
chr11,cg13301003,10979
chr11,cg13608094,10979
chr11,cg13641903,10979
chr11,cg13656360,10979
chr11,cg13744070,10979
chr11,cg13755070,10957
chr11,cg13756879,10978
chr11,cg13765961,10975
chr11,cg13791131,10979
chr11,cg14464791,10978
chr11,cg14481222,10955
chr11,cg14521746,10978
chr11,cg14578030,10978
chr11,cg14775560,10931
chr11,cg14839898,10977
chr11,cg14998713,10978
chr11,cg15107670,10979
chr11,cg15337897,10979
chr11,cg15446391,10979
chr11,cg15576195,10979
chr11,cg15774153,10978
chr11,cg15948326,10979
chr11,cg16046376,10979
chr11,cg16092786,10978
chr11,cg16120811,10979
chr11,cg16196602,10979
chr11,cg16463460,10979
chr11,cg16501028,10978
chr11,cg16519321,10979
chr11,cg16668394,10894
chr11,cg16794682,10979
chr11,cg16817891,10979
chr11,cg17277529,10979
chr11,cg17639290,10976
chr11,cg17773950,2117
chr11,cg17872757,10979
chr11,cg18457775,10979
chr11,cg18555440,10979
chr11,cg18567470,10979
chr11,cg18746357,10979
chr11,cg18788940,10957
chr11,cg19047670,10978
chr11,cg19310430,10978
chr11,cg19345165,10978
chr11,cg19486271,10978
chr11,cg19831575,10910
chr11,cg20029201,10862
chr11,cg20339650,10979
chr11,cg20358834,10979
chr11,cg20792294,10978
chr11,cg20919799,10976
chr11,cg21042619,2116
chr11,cg21086464,10979
chr11,cg21115990,2116
chr11,cg21237591,10978
chr11,cg21245372,10940
chr11,cg21288099,10979
chr11,cg21572997,10979
chr11,cg21681756,10965
chr11,cg21743649,10979
chr11,cg21747271,10979
chr11,cg22223602,10978
chr11,cg22253036,10966
chr11,cg22477592,10979
chr11,cg22511262,10979
chr11,cg22533573,10979
chr11,cg22705929,10979
chr11,cg22833292,10963
chr11,cg22956483,10979
chr11,cg22975913,10967
chr11,cg23074401,10976
chr11,cg23109191,10979
chr11,cg23146358,10979
chr11,cg23548479,10979
chr11,cg23618830,10979
chr11,cg23641145,10979
chr11,cg24322623,10965
chr11,cg24570987,2117
chr11,cg24612772,10954
chr11,cg24936630,10979
chr11,cg24970539,10979
chr11,cg25025243,2117
chr11,cg25060573,10979
chr11,cg25072179,10979
chr11,cg25094569,10979
chr11,cg25101936,10978
chr11,cg25163476,10979
chr11,cg25215340,10979
chr11,cg25437402,2117
chr11,cg25547939,10979
chr11,cg25563456,10979
chr11,cg25574024,10976
chr11,cg25782229,10979
chr11,cg25787984,10978
chr11,cg25876934,2117
chr11,cg26096837,10971
chr11,cg26369667,10978
chr11,cg26408937,10978
chr11,cg26624134,10979
chr11,cg26637069,10979
chr11,cg26750747,10978
chr11,cg27158867,10979
chr11,cg22224704,10390
chr11,cg00022558,8894
chr11,cg00043379,8894
chr11,cg00064284,8894
chr11,cg00074348,8895
chr11,cg00123666,8893
chr11,cg00211601,8895
chr11,cg00221747,8895
chr11,cg00248856,8895
chr11,cg00273464,8895
chr11,cg00303293,8895
chr11,cg00320216,8895
chr11,cg00344445,8895
chr11,cg00347938,8895
chr11,cg00358611,8895
chr11,cg00362906,8895
chr11,cg00374747,8895
chr11,cg00395063,8895
chr11,cg00439267,8895
chr11,cg00464927,8894
chr11,cg00479459,8894
chr11,cg00570518,8895
chr11,cg00576108,8895
chr11,cg00606989,8895
chr11,cg00644777,8887
chr11,cg00778636,8894
chr11,cg00861316,8895
chr11,cg00894289,8895
chr11,cg00911318,8895
chr11,cg00928231,8895
chr11,cg00976692,7954
chr11,cg01062980,8895
chr11,cg01071668,8894
chr11,cg01093786,8895
chr11,cg01102379,8895
chr11,cg01113811,8872
chr11,cg01147192,8893
chr11,cg01168289,8895
chr11,cg01181053,8895
chr11,cg01212326,8895
chr11,cg01219426,8895
chr11,cg01274028,8894
chr11,cg01286655,8895
chr11,cg01294058,8895
chr11,cg01294198,8895
chr11,cg01306498,8895
chr11,cg01351425,8895
chr11,cg01368777,8895
chr11,cg01368799,8895
chr11,cg01372058,8892
chr11,cg01390647,8895
chr11,cg01397325,8894
chr11,cg01398428,8895
chr11,cg01406280,8895
chr11,cg01434559,8895
chr11,cg01436586,8895
chr11,cg01439566,8895
chr11,cg01440016,8894
chr11,cg01475008,8894
chr11,cg01475538,8895
chr11,cg01534808,8878
chr11,cg01573732,8895
chr11,cg01582182,8895
chr11,cg01589760,8819
chr11,cg01599099,8895
chr11,cg01625368,8895
chr11,cg01637289,8895
chr11,cg01646268,8893
chr11,cg01657329,8895
chr11,cg01666550,8894
chr11,cg01667133,8895
chr11,cg01667185,8895
chr11,cg01667319,8895
chr11,cg01668279,8894
chr11,cg01671895,8895
chr11,cg01677148,8894
chr11,cg01681098,8894
chr11,cg01699906,8895
chr11,cg01705230,8895
chr11,cg01715360,8895
chr11,cg01739327,8894
chr11,cg01756564,8894
chr11,cg01822409,8895
chr11,cg01822532,8895
chr11,cg01843131,8895
chr11,cg01878462,8895
chr11,cg01900413,8895
chr11,cg01914181,8895
chr11,cg01921126,8715
chr11,cg01926066,8894
chr11,cg01940657,8895
chr11,cg01952234,8895
chr11,cg01954337,8893
chr11,cg01973695,8895
chr11,cg01988340,8893
chr11,cg01991180,8891
chr11,cg02011476,8894
chr11,cg02028663,8895
chr11,cg02045936,8894
chr11,cg02050903,8894
chr11,cg02058483,8895
chr11,cg02083376,8894
chr11,cg02089672,8895
chr11,cg02105423,8895
chr11,cg02121704,8894
chr11,cg02132604,8893
chr11,cg02151120,8895
chr11,cg02162578,8895
chr11,cg02172616,8894
chr11,cg02182185,8893
chr11,cg02216246,8895
chr11,cg02221422,8895
chr11,cg02239049,8895
chr11,cg02255700,8895
chr11,cg02261543,8895
chr11,cg02264038,8895
chr11,cg02293991,8895
chr11,cg02322400,8891
chr11,cg02341556,8895
chr11,cg02364610,8895
chr11,cg02367949,8895
chr11,cg02384565,8895
chr11,cg02407032,8895
chr11,cg02409815,8895
chr11,cg02425416,8895
chr11,cg02430102,8895
chr11,cg02454501,8894
chr11,cg02493211,8895
chr11,cg02511767,8895
chr11,cg02524954,8890
chr11,cg02526522,8884
chr11,cg02536065,8895
chr11,cg02544540,8895
chr11,cg02546749,8894
chr11,cg02606081,8895
chr11,cg02606728,8895
chr11,cg02613624,8894
chr11,cg02614683,8895
chr11,cg02666257,8895
chr11,cg02675260,8894
chr11,cg02677035,8895
chr11,cg02694676,8895
chr11,cg02702692,8895
chr11,cg02705752,8895
chr11,cg02719427,8895
chr11,cg02728629,8895
chr11,cg02753511,8895
chr11,cg02758040,8895
chr11,cg02758236,8894
chr11,cg02789688,8895
chr11,cg02790372,8893
chr11,cg02793948,8894
chr11,cg02808220,8895
chr11,cg02825052,8579
chr11,cg02835822,8895
chr11,cg02848315,8891
chr11,cg02854902,8895
chr11,cg02870989,8894
chr11,cg02871053,8895
chr11,cg02882381,8895
chr11,cg02891082,8895
chr11,cg02900213,8895
chr11,cg02920502,8895
chr11,cg02933478,8895
chr11,cg02953912,8895
chr11,cg02958346,8630
chr11,cg03001832,8895
chr11,cg03022937,8895
chr11,cg03033106,8892
chr11,cg03035359,8894
chr11,cg03040489,8895
chr11,cg03042113,8895
chr11,cg03044069,8895
chr11,cg03044533,8894
chr11,cg03056436,8895
chr11,cg03057079,8894
chr11,cg03064005,8895
chr11,cg03074984,8895
chr11,cg03083542,8894
chr11,cg03130149,8895
chr11,cg03131732,8892
chr11,cg03153608,8895
chr11,cg03157922,8895
chr11,cg03178691,8892
chr11,cg03197193,8895
chr11,cg03213860,8894
chr11,cg03216085,8887
chr11,cg03274991,8895
chr11,cg03295554,8863
chr11,cg03312059,8895
chr11,cg03342113,8895
chr11,cg03345116,8895
chr11,cg03350366,8895
chr11,cg03356689,8894
chr11,cg03364015,8895
chr11,cg03371275,8894
chr11,cg03426840,8895
chr11,cg03476291,8895
chr11,cg03481620,8895
chr11,cg03523550,8895
chr11,cg03533590,8895
chr11,cg03553386,8895
chr11,cg03559915,8895
chr11,cg03569616,8878
chr11,cg03594819,8885
chr11,cg03597491,8895
chr11,cg03610000,8895
chr11,cg03626668,8895
chr11,cg03631755,8895
chr11,cg03678566,8895
chr11,cg03680032,8895
chr11,cg03703833,8895
chr11,cg03707169,8895
chr11,cg03725573,8895
chr11,cg03733760,8895
chr11,cg03735308,8895
chr11,cg03742567,8895
chr11,cg03760951,8895
chr11,cg03768106,8895
chr11,cg03773647,8894
chr11,cg03780927,8895
chr11,cg03797957,8885
chr11,cg03798942,8895
chr11,cg03802696,8895
chr11,cg03812676,8880
chr11,cg03825332,8894
chr11,cg03856748,8893
chr11,cg03939054,8895
chr11,cg03952736,8893
chr11,cg03963011,8895
chr11,cg04002235,8894
chr11,cg04024822,8895
chr11,cg04044445,8895
chr11,cg04049253,8895
chr11,cg04065909,8893
chr11,cg04075973,8893
chr11,cg04100696,8895
chr11,cg04125373,8864
chr11,cg04159488,8895
chr11,cg04174309,8895
chr11,cg04174538,8895
chr11,cg04176122,8895
chr11,cg04226002,8895
chr11,cg04265051,8895
chr11,cg04269747,8895
chr11,cg04279695,8883
chr11,cg04321378,8895
chr11,cg04334564,8883
chr11,cg04337534,8895
chr11,cg04347708,8895
chr11,cg04360491,8894
chr11,cg04363513,8895
chr11,cg04402633,8895
chr11,cg04420138,8895
chr11,cg04420547,8895
chr11,cg04420932,8895
chr11,cg04424721,8891
chr11,cg04462378,8894
chr11,cg04466995,8895
chr11,cg04495670,8895
chr11,cg04497905,8894
chr11,cg04499648,8895
chr11,cg04499701,8895
chr11,cg04503500,8890
chr11,cg04514998,8895
chr11,cg04585722,8894
chr11,cg04586748,8881
chr11,cg04602060,8894
chr11,cg04603176,8895
chr11,cg04607174,8894
chr11,cg04618331,8895
chr11,cg04640796,8895
chr11,cg04677410,8893
chr11,cg04691634,8895
chr11,cg04691908,8895
chr11,cg04709886,8894
chr11,cg04729398,8894
chr11,cg04733424,8895
chr11,cg04770025,8894
chr11,cg04782396,8894
chr11,cg04807669,8894
chr11,cg04826772,8894
chr11,cg04837284,8890
chr11,cg04905477,8895
chr11,cg04915425,8895
chr11,cg04917258,8895
chr11,cg04918186,8895
chr11,cg04919489,8895
chr11,cg04926380,8895
chr11,cg04962756,8895
chr11,cg04972566,8895
chr11,cg04986504,8895
chr11,cg05032348,8895
chr11,cg05033322,8881
chr11,cg05045933,8895
chr11,cg05068533,8895
chr11,cg05078611,8894
chr11,cg05090695,8894
chr11,cg05090835,8895
chr11,cg05099464,8740
chr11,cg05100279,8894
chr11,cg05106294,8893
chr11,cg05159438,8895
chr11,cg05163510,8895
chr11,cg05201673,8894
chr11,cg05203776,8895
chr11,cg05218210,8894
chr11,cg05231509,8895
chr11,cg05245226,8895
chr11,cg05260877,8895
chr11,cg05267118,8895
chr11,cg05270552,8894
chr11,cg05299398,8894
chr11,cg05323345,8888
chr11,cg05330472,8895
chr11,cg05338083,8895
chr11,cg05344046,8895
chr11,cg05369547,8895
chr11,cg05383783,8893
chr11,cg05384664,8895
chr11,cg05444816,8895
chr11,cg05447955,8893
chr11,cg05452899,8894
chr11,cg05471373,8894
chr11,cg05492810,8895
chr11,cg05495611,8895
chr11,cg05501817,8893
chr11,cg05508592,8895
chr11,cg05519310,8895
chr11,cg05527996,8895
chr11,cg05569124,8895
chr11,cg05570937,8895
chr11,cg05587627,8894
chr11,cg05634376,8895
chr11,cg05637308,8895
chr11,cg05675372,8895
chr11,cg05694840,8894
chr11,cg05714094,8895
chr11,cg05725263,8895
chr11,cg05727001,8895
chr11,cg05754939,8894
chr11,cg05755092,8895
chr11,cg05761734,8892
chr11,cg05768620,8895
chr11,cg05777976,8894
chr11,cg05783135,8895
chr11,cg05819150,8895
chr11,cg05825928,8894
chr11,cg05859777,8895
chr11,cg05874355,8895
chr11,cg05900538,8895
chr11,cg05909880,8895
chr11,cg05940984,8895
chr11,cg05956220,8895
chr11,cg05977230,8892
chr11,cg05984508,8895
chr11,cg05989775,8895
chr11,cg06029905,8895
chr11,cg06040577,8895
chr11,cg06045408,8894
chr11,cg06046434,8895
chr11,cg06051146,8895
chr11,cg06053805,8893
chr11,cg06072021,8895
chr11,cg06073386,8894
chr11,cg06079620,8895
chr11,cg06081482,8880
chr11,cg06127316,8819
chr11,cg06130144,8895
chr11,cg06136199,8836
chr11,cg06148118,8895
chr11,cg06169200,8893
chr11,cg06172475,8892
chr11,cg06188670,8895
chr11,cg06191719,8895
chr11,cg06210783,8895
chr11,cg06219670,8892
chr11,cg06244306,8843
chr11,cg06252985,8895
chr11,cg06281850,8895
chr11,cg06311596,8895
chr11,cg06329574,8894
chr11,cg06334611,8895
chr11,cg06339712,8895
chr11,cg06341100,8895
chr11,cg06358433,8895
chr11,cg06362776,8895
chr11,cg06387204,8895
chr11,cg06394082,8895
chr11,cg06400204,8894
chr11,cg06401643,8895
chr11,cg06404838,8894
chr11,cg06411137,8895
chr11,cg06420049,8893
chr11,cg06425919,8895
chr11,cg06431702,8895
chr11,cg06434864,8895
chr11,cg06460568,8895
chr11,cg06493289,8895
chr11,cg06536200,8894
chr11,cg06551161,8895
chr11,cg06560887,8889
chr11,cg06569300,8895
chr11,cg06578825,8894
chr11,cg06662685,8805
chr11,cg06665913,8883
chr11,cg06676088,8895
chr11,cg06716182,8895
chr11,cg06727490,8895
chr11,cg06741896,8894
chr11,cg06750635,8893
chr11,cg06795816,8895
chr11,cg06844209,8895
chr11,cg06848762,8895
chr11,cg06854487,8895
chr11,cg06859463,8895
chr11,cg06860916,8894
chr11,cg06862167,8895
chr11,cg06869755,8895
chr11,cg06880963,8894
chr11,cg06886059,8894
chr11,cg06889951,8895
chr11,cg06920740,8895
chr11,cg06928838,8894
chr11,cg06943667,8895
chr11,cg06969777,8894
chr11,cg06989074,8895
chr11,cg07008193,8895
chr11,cg07056967,8888
chr11,cg07091355,8895
chr11,cg07096953,8895
chr11,cg07099388,8895
chr11,cg07101781,8894
chr11,cg07132633,8895
chr11,cg07174979,8895
chr11,cg07193766,8895
chr11,cg07209141,8895
chr11,cg07211140,8895
chr11,cg07252294,8895
chr11,cg07283152,8895
chr11,cg07295918,8895
chr11,cg07332880,8891
chr11,cg07354728,8893
chr11,cg07356130,8895
chr11,cg07425109,8895
chr11,cg07428648,8893
chr11,cg07486669,8874
chr11,cg07534554,8894
chr11,cg07536419,8895
chr11,cg07540593,8895
chr11,cg07554011,8895
chr11,cg07583420,8895
chr11,cg07584320,8895
chr11,cg07618110,8893
chr11,cg07631435,8895
chr11,cg07663571,8893
chr11,cg07667522,8895
chr11,cg07673133,8895
chr11,cg07700369,8894
chr11,cg07702311,8895
chr11,cg07716052,8895
chr11,cg07724977,8895
chr11,cg07742492,8895
chr11,cg07758428,8894
chr11,cg07780377,8895
chr11,cg07781399,8895
chr11,cg07808590,8888
chr11,cg07985116,8890
chr11,cg07992044,8895
chr11,cg07996345,8895
chr11,cg07999415,8895
chr11,cg08014499,8894
chr11,cg08035277,8895
chr11,cg08041603,8895
chr11,cg08047886,8894
chr11,cg08082142,8895
chr11,cg08098619,8895
chr11,cg08127021,8894
chr11,cg08128650,8895
chr11,cg08134417,8894
chr11,cg08136110,8895
chr11,cg08141395,8893
chr11,cg08142478,8895
chr11,cg08180285,8895
chr11,cg08206623,8895
chr11,cg08209365,8885
chr11,cg08281515,8895
chr11,cg08300346,8894
chr11,cg08315145,8895
chr11,cg08318018,8877
chr11,cg08331513,8893
chr11,cg08360771,8895
chr11,cg08411235,8895
chr11,cg08426823,8891
chr11,cg08441138,8895
chr11,cg08452327,8895
chr11,cg08458745,8895
chr11,cg08475257,8895
chr11,cg08481246,8895
chr11,cg08486160,8895
chr11,cg08527546,8895
chr11,cg08532152,8894
chr11,cg08567913,8895
chr11,cg08575722,8895
chr11,cg08585315,8895
chr11,cg08586366,8895
chr11,cg08586426,8895
chr11,cg08590601,8895
chr11,cg08597220,8895
chr11,cg08639748,8895
chr11,cg08648997,8895
chr11,cg08686462,8895
chr11,cg08691479,8893
chr11,cg08729981,8894
chr11,cg08753222,8895
chr11,cg08787968,8895
chr11,cg08805054,8895
chr11,cg08825225,8895
chr11,cg08847737,8894
chr11,cg08881680,8895
chr11,cg08900073,8895
chr11,cg08924969,8895
chr11,cg08925882,8864
chr11,cg08932665,8895
chr11,cg08942269,8895
chr11,cg08954307,8895
chr11,cg08983011,8894
chr11,cg08986368,8893
chr11,cg09007161,8895
chr11,cg09012406,8894
chr11,cg09022952,8894
chr11,cg09030501,8895
chr11,cg09037089,8894
chr11,cg09073106,8895
chr11,cg09080444,8895
chr11,cg09085358,8895
chr11,cg09089242,8895
chr11,cg09100988,8882
chr11,cg09138207,8717
chr11,cg09161549,8895
chr11,cg09164911,8895
chr11,cg09188763,8895
chr11,cg09203240,8895
chr11,cg09234616,8895
chr11,cg09257824,8895
chr11,cg09264906,8895
chr11,cg09313740,8895
chr11,cg09376352,8894
chr11,cg09502447,8895
chr11,cg09503234,8893
chr11,cg09516786,8895
chr11,cg09518195,8895
chr11,cg09520904,8895
chr11,cg09551996,8895
chr11,cg09552510,8891
chr11,cg09554856,8895
chr11,cg09562426,8895
chr11,cg09574088,8894
chr11,cg09578155,8895
chr11,cg09593860,8895
chr11,cg09599777,8894
chr11,cg09612099,8895
chr11,cg09668344,8895
chr11,cg09677763,8825
chr11,cg09694722,8895
chr11,cg09695430,8894
chr11,cg09700701,8894
chr11,cg09705667,8891
chr11,cg09709565,8895
chr11,cg09719477,8895
chr11,cg09754341,8782
chr11,cg09801353,8894
chr11,cg09801924,8893
chr11,cg09808176,8895
chr11,cg09890653,8895
chr11,cg09896120,8895
chr11,cg09915500,8895
chr11,cg09933726,8895
chr11,cg09951485,8893
chr11,cg09994445,8895
chr11,cg10006235,8889
chr11,cg10028983,8895
chr11,cg10036727,8894
chr11,cg10037494,8895
chr11,cg10042298,8895
chr11,cg10072309,8895
chr11,cg10086030,8895
chr11,cg10093067,8894
chr11,cg10096321,8895
chr11,cg10101862,8895
chr11,cg10119679,8879
chr11,cg10136773,8894
chr11,cg10149161,8894
chr11,cg10151248,8893
chr11,cg10159951,8894
chr11,cg10244666,8895
chr11,cg10256234,8895
chr11,cg10259392,8895
chr11,cg10290679,8895
chr11,cg10331829,8895
chr11,cg10333023,8895
chr11,cg10333041,8889
chr11,cg10337079,8895
chr11,cg10349413,8895
chr11,cg10361167,8895
chr11,cg10364881,8895
chr11,cg10398005,8895
chr11,cg10407488,8865
chr11,cg10420527,8895
chr11,cg10518262,8895
chr11,cg10518628,8895
chr11,cg10535675,8807
chr11,cg10542562,8895
chr11,cg10557147,8895
chr11,cg10605064,8895
chr11,cg10610482,8894
chr11,cg10618635,8895
chr11,cg10650127,8895
chr11,cg10659464,8895
chr11,cg10659575,8895
chr11,cg10677909,8895
chr11,cg10679277,8895
chr11,cg10687219,8895
chr11,cg10706724,8894
chr11,cg10716494,8895
chr11,cg10725932,8895
chr11,cg10746447,8895
chr11,cg10771851,8895
chr11,cg10774480,8893
chr11,cg10827488,8895
chr11,cg10858196,8895
chr11,cg10879244,8895
chr11,cg10893908,8895
chr11,cg10929140,8895
chr11,cg10952477,8893
chr11,cg10959896,8895
chr11,cg10974104,8895
chr11,cg10976287,8893
chr11,cg10981648,8894
chr11,cg10983623,8895
chr11,cg10986946,8895
chr11,cg11017065,8895
chr11,cg11038774,8895
chr11,cg11075416,8894
chr11,cg11081272,8895
chr11,cg11086642,8894
chr11,cg11101439,8895
chr11,cg11126068,8895
chr11,cg11134155,8894
chr11,cg11161828,8895
chr11,cg11172286,8893
chr11,cg11174851,8895
chr11,cg11179518,8895
chr11,cg11185804,8895
chr11,cg11190277,8895
chr11,cg11194398,8895
chr11,cg11196788,8893
chr11,cg11207763,8895
chr11,cg11210881,8895
chr11,cg11217273,8894
chr11,cg11234767,8895
chr11,cg11240634,8893
chr11,cg11253592,8889
chr11,cg11272874,8894
chr11,cg11314056,8895
chr11,cg11317774,8895
chr11,cg11362935,8895
chr11,cg11366131,8895
chr11,cg11398323,8700
chr11,cg11399776,8894
chr11,cg11410726,8894
chr11,cg11494123,8895
chr11,cg11500390,8895
chr11,cg11500391,8894
chr11,cg11525980,8894
chr11,cg11542469,8895
chr11,cg11552868,8894
chr11,cg11586605,8895
chr11,cg11588197,8894
chr11,cg11588932,8894
chr11,cg11592345,8893
chr11,cg11609631,8895
chr11,cg11609668,8895
chr11,cg11614622,8894
chr11,cg11637980,8842
chr11,cg11645556,8895
chr11,cg11647421,8895
chr11,cg11655394,8894
chr11,cg11662520,8895
chr11,cg11701022,8895
chr11,cg11717189,8838
chr11,cg11744767,8895
chr11,cg11760500,8895
chr11,cg11778756,8831
chr11,cg11807356,8895
chr11,cg11815388,8894
chr11,cg11832408,8895
chr11,cg11851522,8892
chr11,cg11862081,8895
chr11,cg11864726,8895
chr11,cg11874426,8895
chr11,cg11878872,8892
chr11,cg11886358,8894
chr11,cg11908291,8890
chr11,cg11915650,8895
chr11,cg11925872,8895
chr11,cg11930406,8895
chr11,cg11944284,8894
chr11,cg11995069,8895
chr11,cg12004276,8895
chr11,cg12004787,8895
chr11,cg12013041,8895
chr11,cg12016746,8895
chr11,cg12019961,8579
chr11,cg12076823,8895
chr11,cg12106634,8895
chr11,cg12128589,8895
chr11,cg12129983,8895
chr11,cg12139707,8895
chr11,cg12189255,8895
chr11,cg12219707,8852
chr11,cg12256550,8895
chr11,cg12263469,8895
chr11,cg12267021,8895
chr11,cg12269002,8893
chr11,cg12289926,8895
chr11,cg12294403,8893
chr11,cg12299026,8895
chr11,cg12319507,8895
chr11,cg12349030,8895
chr11,cg12370174,8894
chr11,cg12376271,8895
chr11,cg12378449,8895
chr11,cg12380429,8895
chr11,cg12418739,8895
chr11,cg12467096,8895
chr11,cg12467960,8894
chr11,cg12526471,8895
chr11,cg12528452,8286
chr11,cg12532791,8895
chr11,cg12535744,8895
chr11,cg12572987,8893
chr11,cg12577321,8895
chr11,cg12583138,8895
chr11,cg12596520,8895
chr11,cg12600018,8895
chr11,cg12614029,8895
chr11,cg12648988,8895
chr11,cg12668155,8895
chr11,cg12672785,8895
chr11,cg12688788,8895
chr11,cg12695685,8892
chr11,cg12697442,8894
chr11,cg12700464,8895
chr11,cg12731568,8895
chr11,cg12740527,8894
chr11,cg12744191,8894
chr11,cg12773325,8894
chr11,cg12778215,8870
chr11,cg12778580,8894
chr11,cg12794432,8895
chr11,cg12819548,8894
chr11,cg12823408,8895
chr11,cg12825880,8895
chr11,cg12832726,8895
chr11,cg12848864,8894
chr11,cg12851792,8894
chr11,cg12877935,8894
chr11,cg12884141,8894
chr11,cg12895546,8877
chr11,cg12936779,8895
chr11,cg12937034,8895
chr11,cg12940747,8895
chr11,cg12964047,8895
chr11,cg12982322,8895
chr11,cg12984168,8895
chr11,cg12989344,8894
chr11,cg12994233,8895
chr11,cg13024368,8894
chr11,cg13037081,8895
chr11,cg13039082,8895
chr11,cg13048008,8894
chr11,cg13066658,8895
chr11,cg13137458,8895
chr11,cg13146674,8894
chr11,cg13165070,8783
chr11,cg13165758,8895
chr11,cg13167664,8895
chr11,cg13186466,8894
chr11,cg13216372,8895
chr11,cg13225881,8710
chr11,cg13226797,8895
chr11,cg13249774,8895
chr11,cg13249789,8894
chr11,cg13255035,8895
chr11,cg13259205,8678
chr11,cg13269439,8895
chr11,cg13271751,8838
chr11,cg13286351,8895
chr11,cg13319772,8895
chr11,cg13324568,8895
chr11,cg13361747,8895
chr11,cg13365543,8895
chr11,cg13401014,8895
chr11,cg13450005,8894
chr11,cg13460670,8895
chr11,cg13476635,8895
chr11,cg13540960,8895
chr11,cg13542461,8895
chr11,cg13569486,7972
chr11,cg13582950,8895
chr11,cg13601740,8895
chr11,cg13603599,8895
chr11,cg13638420,8895
chr11,cg13645902,8895
chr11,cg13663793,8894
chr11,cg13686012,8895
chr11,cg13694824,8892
chr11,cg13703576,8895
chr11,cg13720316,8895
chr11,cg13738327,8895
chr11,cg13746740,8895
chr11,cg13749927,8895
chr11,cg13782932,8895
chr11,cg13844463,8894
chr11,cg13866253,8895
chr11,cg13894813,8895
chr11,cg13906669,8895
chr11,cg13909178,8895
chr11,cg13920364,8895
chr11,cg13927387,8895
chr11,cg13928782,8895
chr11,cg13971030,8895
chr11,cg13979863,8894
chr11,cg13990013,8895
chr11,cg14006005,8895
chr11,cg14042099,8895
chr11,cg14076258,8892
chr11,cg14078335,8895
chr11,cg14079492,8895
chr11,cg14083356,8895
chr11,cg14107975,8895
chr11,cg14146407,8894
chr11,cg14174320,8895
chr11,cg14188639,8882
chr11,cg14189304,8895
chr11,cg14205016,8895
chr11,cg14241609,8894
chr11,cg14242895,8895
chr11,cg14245804,8895
chr11,cg14296561,8895
chr11,cg14304702,8895
chr11,cg14340131,8895
chr11,cg14359259,8895
chr11,cg14371107,8895
chr11,cg14432744,8894
chr11,cg14436861,8895
chr11,cg14457439,8895
chr11,cg14504418,8793
chr11,cg14513281,8895
chr11,cg14547067,8894
chr11,cg14570838,8895
chr11,cg14592260,8894
chr11,cg14592365,8895
chr11,cg14596967,8894
chr11,cg14598198,8893
chr11,cg14608156,8893
chr11,cg14630206,8895
chr11,cg14653250,8895
chr11,cg14655700,8895
chr11,cg14657517,8895
chr11,cg14689317,8895
chr11,cg14701554,8895
chr11,cg14705010,8895
chr11,cg14718848,8895
chr11,cg14732852,8894
chr11,cg14737600,8895
chr11,cg14746605,8894
chr11,cg14746813,8895
chr11,cg14761454,8759
chr11,cg14772925,8895
chr11,cg14774438,8895
